City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
303,Yanam,IN,79.77200000000003,overcast clouds,16.7333,82.2167,The Regency Hotel
306,Brufut,GM,78.89000000000001,broken clouds,13.3814,-16.7518,Gambia Hotel Resort & Spa
308,Qurayyat,SA,77.18000000000004,clear sky,31.3318,37.3428,Resorts Kandel
309,Itarema,BR,76.96400000000003,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
319,Komsomolskiy,UZ,75.92000000000006,broken clouds,40.4272,71.7189,Ikathouse
320,Sur,OM,85.51400000000004,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
325,Golden,US,86.14400000000008,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
326,Cabedelo,BR,79.46600000000001,clear sky,-6.9811,-34.8339,Pousada Camboinha
346,Eydhafushi,MV,82.83200000000002,scattered clouds,5.1033,73.0708,Soneva Fushi
350,Poptun,GT,76.06400000000004,overcast clouds,16.3311,-89.4169,Hotel Sevilla
351,Coahuayana,MX,89.43800000000005,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
353,Shorapur,IN,82.292,broken clouds,16.5167,76.75,Maheshwari Bhawan
358,Bull Savanna,JM,79.39400000000008,overcast clouds,17.8868,-77.5902,Big Red's
360,Pakala,IN,79.34000000000002,overcast clouds,13.4667,79.1167,ViswanathBollineni guesthouse @
364,Greenwich,US,85.94600000000005,clear sky,41.0265,-73.6285,Delamar Greenwich Harbor
365,West Bay,KY,89.67200000000004,few clouds,19.3667,-81.4167,Calypso Cove
366,Kontagora,NG,79.05200000000008,light rain,10.3999,5.4695,Queens Guest Inn
369,Gallup,US,85.01000000000008,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
375,Puerto Penasco,MX,81.91400000000003,clear sky,31.3167,-113.5333,Playa Bonita Resort
381,Guider,CM,84.02000000000007,scattered clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
384,Mogadishu,SO,78.42200000000004,broken clouds,2.0371,45.3438,Hotel Juba
386,Palmas Bellas,PA,78.76400000000004,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
387,Guiratinga,BR,76.49600000000005,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
389,Teloloapan,MX,78.49400000000007,overcast clouds,18.35,-99.85,Hotel Las Palmas
393,Yarmouth,US,78.908,clear sky,41.7057,-70.2286,Blue Rock Resort
401,Marzuq,YE,79.71800000000009,clear sky,14.4,46.4667,حيد القفلة
402,Jalu,LY,79.41200000000006,clear sky,29.0331,21.5482,صاحبة الفخامة
405,Nishihara,JP,78.85400000000006,shower rain,26.1842,127.7558,Minshuku Agaihama
407,Birjand,IR,81.06800000000008,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
409,Kutum,SD,82.22000000000006,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
412,Fayaoue,NC,75.66800000000009,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
415,Bani,DO,79.86200000000005,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
418,Takoradi,GH,78.29600000000005,light rain,4.8845,-1.7554,Raybow International Hotel
419,Kangaba,ML,82.88600000000007,light rain,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
420,Ishigaki,JP,80.72600000000008,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
430,Trairi,BR,76.02800000000006,clear sky,-3.2778,-39.2689,janelas do mar
433,Road Town,VG,86.09000000000002,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
434,Praya,CV,75.74000000000002,broken clouds,14.9215,-23.5087,LT Aparthotel
435,Kattivakkam,IN,85.06400000000004,broken clouds,13.2167,80.3167,Euronova Freezer
443,Esna,EG,87.81800000000008,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
445,Ingham,US,85.17200000000004,clear sky,42.6,-84.3833,Sunset Mobile Home Park
449,Amahai,ID,77.07200000000003,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
450,Daru,PG,78.0260000000001,scattered clouds,-9.0763,143.2092,Daru Lodge
456,Bentiu,SS,77.59400000000008,light rain,9.2333,29.8333,Mandela hôtel
461,Srivardhan,IN,82.058,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
462,Novo Aripuana,BR,80.34800000000003,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
464,Bambanglipuro,ID,75.68600000000006,broken clouds,-7.95,110.2833,Puri Brata
465,Itoman,JP,79.57400000000001,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
466,Andros,GR,77.558,clear sky,37.8333,24.9333,Micra Anglia Hotel - Andros
476,Porto San Giorgio,IT,75.00200000000008,clear sky,43.1827,13.7934,David Palace Hotel
477,Coronado,US,87.26000000000008,clear sky,32.6859,-117.1831,Hilton San Diego Bayfront
482,Sao Miguel Do Araguaia,BR,83.08399999999999,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
483,Camopi,GF,78.17000000000006,overcast clouds,3.1655,-52.3158,La pousada
484,Pyinmana,MM,75.092,overcast clouds,19.7333,96.2167,Anh Mai Daung
486,Rabak,SD,77.84600000000005,light rain,13.1809,32.74,فندق ربك Rabak Hotel
489,Isangel,VU,77.93600000000006,broken clouds,-19.55,169.2667,Tanna Lodge
491,Santo Domingo,DO,79.03399999999999,scattered clouds,18.5001,-69.9886,Cabañas City Heart
494,Nizwa,OM,84.66800000000009,scattered clouds,22.9333,57.5333,Orient Apartments
495,Kaohsiung,TW,81.03200000000001,moderate rain,22.6163,120.3133,御宿商旅-中山館
497,Pitimbu,BR,79.39400000000008,clear sky,-7.4706,-34.8086,Reserva do Abiaí
500,Pacific Grove,US,81.55400000000006,few clouds,36.6177,-121.9166,Lovers Point Inn
501,Ranong,TH,78.47600000000008,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
505,Deer Lake,CA,75.05600000000003,broken clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
508,Kuah,MY,80.58200000000002,few clouds,6.3265,99.8432,Azio Hotel
514,Jose De Freitas,BR,86.95400000000005,clear sky,-4.7564,-42.5756,É Antônio de Souza construção
516,Elizabeth City,US,83.04800000000003,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
521,Alugan,PH,79.50200000000008,overcast clouds,12.2188,125.4808,JM Lodge
523,Isla Mujeres,MX,86.16200000000006,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
525,Marsh Harbour,BS,82.00400000000005,few clouds,26.5412,-77.0636,Abaco Beach Resort
526,Sabang,ID,81.06800000000008,broken clouds,5.8933,95.3214,Hotel Citra
527,Aksu,CN,78.83600000000007,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
529,Senador Guiomard,BR,82.14800000000002,scattered clouds,-10.1522,-67.7392,Paraíso Hotel
533,Khurda,IN,82.31000000000009,overcast clouds,20.1833,85.6167,Bagbaan Villa
542,Alofi,NU,76.892,few clouds,-19.0595,-169.9187,Taloa Heights
543,Gerash,IR,84.34400000000008,clear sky,27.6652,54.1371,Sa'adat House Gerash
549,Aquiraz,BR,81.17600000000009,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
553,Turbat,PK,84.25400000000005,clear sky,26.0023,63.044,Mubashar Quarters
556,Herbertpur,IN,84.02000000000007,clear sky,30.45,77.7333,Hotel Shaurya
560,Kombissiri,BF,84.18200000000002,overcast clouds,12.0656,-1.3375,Mitibkieta Annexe
562,Hami,CN,86.12600000000009,overcast clouds,42.8,93.45,Laoyutang Resort
565,Manadhoo,MV,82.76000000000008,few clouds,5.7667,73.3833,Bon Abri maldives
570,Auki,SB,79.75400000000005,scattered clouds,-8.7676,160.7034,Auki Motel
571,Ishurdi,BD,82.32800000000006,overcast clouds,24.1333,89.0833,Jobair
575,Matara,LK,79.16000000000008,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
577,Yenagoa,NG,75.308,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
579,Bubaque,GW,79.25,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
581,Santa Isabel Do Rio Negro,BR,75.56000000000009,broken clouds,-0.4139,-65.0192,Hotel GSA
585,Colares,PT,76.19000000000003,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
586,Barao De Melgaco,BR,78.36800000000008,scattered clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
588,Thanatpin,MM,78.98000000000005,overcast clouds,17.2119,96.3033,Lo Ta Ya Garden
590,Kuryk,KZ,76.91000000000008,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
597,Dawlatabad,AF,84.092,scattered clouds,36.4141,64.9053,WASIM ASGAR KHAN
599,Romitan,UZ,78.74600000000005,clear sky,39.9343,64.3814,Hotel Temur
