City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Bluff,NZ,2022-06-13 21:44:18,-46.6,168.3333,279.71,69,100,16.9
109,Sola,VU,2022-06-13 21:47:21,-13.8833,167.55,299.52,94,75,0.0
110,Villa Carlos Paz,AR,2022-06-13 21:47:21,-31.4241,-64.4978,289.48,23,9,2.86
111,Fredericton,CA,2022-06-13 21:46:23,45.9454,-66.6656,289.73,81,100,2.57
112,Sakakah,SA,2022-06-13 21:47:22,29.9697,40.2064,303.91,28,0,3.36
113,Palmares Do Sul,BR,2022-06-13 21:47:23,-30.2578,-50.5097,286.95,89,98,1.36
114,Dzhebariki-Khaya,RU,2022-06-13 21:47:24,62.2167,135.8,288.72,64,15,2.86
115,Tahoua,NE,2022-06-13 21:47:25,14.8888,5.2692,309.14,19,3,2.72
116,Kurilsk,RU,2022-06-13 21:47:25,45.2333,147.8833,281.71,83,0,1.95
117,Geraldton,AU,2022-06-13 21:44:51,-28.7667,114.6,286.38,88,100,4.12
118,Seminole,US,2022-06-13 21:45:27,28.7086,-81.2081,307.78,63,100,5.14
119,Nikolskoye,RU,2022-06-13 21:47:27,59.7035,30.7861,286.36,97,37,1.49
120,Erenhot,CN,2022-06-13 21:47:27,43.6475,111.9767,287.27,69,18,3.08
121,Petropavlovsk-Kamchatskiy,RU,2022-06-13 21:44:35,53.0452,158.6483,284.48,66,75,1.0
122,Lakes Entrance,AU,2022-06-13 21:44:57,-37.8811,147.981,276.02,81,56,2.49
123,Zigong,CN,2022-06-13 21:46:41,29.3416,104.7769,292.0,86,77,1.79
124,Vila Franca Do Campo,PT,2022-06-13 21:47:29,37.7167,-25.4333,291.59,86,12,4.21
125,Murgab,TM,2022-06-13 21:47:30,37.4966,61.9714,299.08,47,0,0.0
126,Ishigaki,JP,2022-06-13 21:47:31,24.3448,124.1572,301.22,94,100,5.66
127,Qaanaaq,GL,2022-06-13 21:44:58,77.484,-69.3632,272.06,73,36,1.24
128,Tasiilaq,GL,2022-06-13 21:47:32,65.6145,-37.6368,276.24,95,100,4.98
129,Sinnamary,GF,2022-06-13 21:44:31,5.3833,-52.95,298.79,83,90,2.86
130,Cape Town,ZA,2022-06-13 21:44:06,-33.9258,18.4232,287.38,89,75,7.72
131,Esmeraldas,BR,2022-06-13 21:47:34,-19.7625,-44.3139,294.63,33,49,1.89
132,Airai,TL,2022-06-13 21:47:34,-8.9266,125.4092,287.57,92,66,1.44
133,Edendale,ZA,2022-06-13 21:47:35,-29.6528,30.3147,284.83,42,100,2.58
134,Oyugis,KE,2022-06-13 21:47:36,-0.509,34.7358,291.47,91,9,2.49
135,Talnakh,RU,2022-06-13 21:47:37,69.4865,88.3972,287.85,63,76,0.27
136,Saldanha,ZA,2022-06-13 21:43:24,-33.0117,17.9442,286.18,83,97,8.98
137,Horsham,GB,2022-06-13 21:47:38,51.064,-0.3272,289.11,73,0,2.57
138,Kaeo,NZ,2022-06-13 21:47:39,-35.1,173.7833,288.1,61,17,3.99
139,Esso,RU,2022-06-13 21:47:49,55.9333,158.7,279.41,88,98,1.97
140,Hermanus,ZA,2022-06-13 21:44:22,-34.4187,19.2345,284.71,73,100,7.17
141,Torbay,CA,2022-06-13 21:43:12,47.6666,-52.7314,286.08,75,75,3.09
142,Comodoro Rivadavia,AR,2022-06-13 21:47:51,-45.8667,-67.5,288.07,44,0,4.12
143,Dikson,RU,2022-06-13 21:43:24,73.5069,80.5464,272.14,88,100,5.42
144,Nioro,GM,2022-06-13 21:47:52,13.35,-15.75,300.13,67,100,4.62
145,Pakruojis,LT,2022-06-13 21:47:52,55.9667,23.8667,285.59,96,100,4.7
146,Miramar,US,2022-06-13 21:47:53,25.9873,-80.2323,306.49,66,0,5.14
147,Taksimo,RU,2022-06-13 21:47:54,56.3444,114.8794,288.9,67,100,0.66
148,Dakar,SN,2022-06-13 21:47:55,14.6937,-17.4441,298.64,78,75,0.0
149,Balakhninskiy,RU,2022-06-13 21:47:55,58.0106,114.2769,286.98,89,98,0.36
150,Kodinsk,RU,2022-06-13 21:47:56,58.6881,99.1844,289.38,74,51,0.82
151,Cururupu,BR,2022-06-13 21:47:57,-1.8283,-44.8683,296.84,93,4,1.56
152,Cubuk,TR,2022-06-13 21:47:58,40.2386,33.0322,289.13,88,40,0.51
